City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Nantucket,US,2021-10-23 00:40:51,41.2835,-70.0995,64.51,84,40,9.22
259,Shenzhen,CN,2021-10-23 00:41:17,22.5455,114.0683,68.14,80,98,8.43
260,Mortka,RU,2021-10-23 00:41:18,59.3322,66.0214,45.39,94,100,13.18
261,Keuruu,FI,2021-10-23 00:41:18,62.2667,24.7,32.81,92,100,11.99
262,Nalut,LY,2021-10-23 00:41:19,30.3333,10.85,72.73,28,100,11.41
263,Markova,UA,2021-10-23 00:41:19,48.6758,24.4138,49.8,73,61,10.22
264,Carutapera,BR,2021-10-23 00:41:20,-1.195,-46.02,76.77,93,87,5.86
265,Valparaiso,CL,2021-10-23 00:39:07,-33.0393,-71.6273,55.04,58,0,8.05
266,Bairnsdale,AU,2021-10-23 00:41:20,-37.8333,147.6167,62.06,95,68,6.17
267,Ust-Nera,RU,2021-10-23 00:41:21,64.5667,143.2,9.52,92,87,1.14
268,Smederevo,RS,2021-10-23 00:36:35,44.6628,20.93,55.38,96,100,2.64
269,Ylojarvi,FI,2021-10-23 00:41:21,61.5563,23.5961,32.95,98,90,8.05
270,Tautira,PF,2021-10-23 00:41:22,-17.7333,-149.15,73.42,86,83,30.15
271,Boras,SE,2021-10-23 00:41:22,57.721,12.9401,44.62,73,0,8.28
272,Komsomolskiy,UZ,2021-10-23 00:41:22,40.4272,71.7189,39.92,65,16,2.3
273,Zhigansk,RU,2021-10-23 00:41:23,66.7697,123.3711,19.09,95,100,5.3
274,Priladozhskiy,RU,2021-10-23 00:41:23,59.85,31.4833,45.63,1,100,15.86
275,Pangnirtung,CA,2021-10-23 00:41:24,66.1451,-65.7125,24.12,57,96,7.9
276,Alekseyevskaya,RU,2021-10-23 00:41:24,50.2896,42.1845,50.14,86,95,6.71
277,Vilyuysk,RU,2021-10-23 00:41:25,63.7553,121.6247,32.16,90,88,10.0
278,Nosy Varika,MG,2021-10-23 00:41:25,-20.5833,48.5333,70.48,89,53,6.51
279,Mecca,SA,2021-10-23 00:39:00,21.4267,39.8261,80.96,37,18,0.38
280,Gravdal,NO,2021-10-23 00:41:25,68.1214,13.5031,38.35,51,100,4.7
281,Chuy,UY,2021-10-23 00:41:26,-33.6971,-53.4616,56.98,74,100,5.93
282,Okha,RU,2021-10-23 00:41:26,53.5739,142.9478,39.85,80,100,16.06
283,Fort Nelson,CA,2021-10-23 00:41:27,58.8053,-122.7002,47.79,61,75,4.61
284,Bonavista,CA,2021-10-23 00:41:27,48.6499,-53.1147,53.11,78,100,6.51
285,Inta,RU,2021-10-23 00:41:27,66.0317,60.1659,30.94,97,100,6.98
286,Katsina,NG,2021-10-23 00:41:28,12.9894,7.6006,77.43,61,56,14.14
287,Port Lincoln,AU,2021-10-23 00:41:28,-34.7333,135.8667,59.72,53,6,16.42
288,Fort Morgan,US,2021-10-23 00:41:29,40.2503,-103.8,63.82,18,1,5.75
289,Saint-Georges,GD,2021-10-23 00:41:29,12.0564,-61.7485,82.08,83,40,16.11
290,Lompoc,US,2021-10-23 00:38:45,34.6391,-120.4579,73.13,86,90,10.36
